source_reference,source_category,source_product,source_strength,source_size,item_class,canonical_medication_id,patient_facing_medication_concept,clinical_medication_concept,formulation_id,pharmacy_configuration_id,normalization_status,notes
SRC-003:Formulary Pricing!A26:J26,Women's & Men's Health - Injection,Bi-mix Injection MDV (Papaverine HCL/Phentolamine Mesylate),Custom Available,5ml,medication,MED-005,Bi-mix,Papaverine HCl + phentolamine mesylate,FRM-008,CFG-EP-0025,NORMALIZED,""
SRC-003:Formulary Pricing!A27:J27,Women's & Men's Health - Injection,Progesterone 50mg/mL - commercial,50mg/ml,10ml,medication,MED-006,Progesterone,Progesterone,FRM-009,CFG-EP-0026,NORMALIZED,""
SRC-003:Formulary Pricing!A28:J28,Women's & Men's Health - Injection,Testosterone Cypionate Inj (sesame oil),200mg/ml,2ml,medication,MED-007,Testosterone,Testosterone cypionate,FRM-010,CFG-EP-0027,NORMALIZED,""
SRC-003:Formulary Pricing!A29:J29,Women's & Men's Health - Injection,Testosterone/Anastrozole Inj,200mg/1mg/ml,4ml,medication,MED-008,Testosterone / Anastrozole,Testosterone + anastrozole,FRM-011,CFG-EP-0028,NORMALIZED,""
SRC-003:Formulary Pricing!A30:J30,Women's & Men's Health - Injection,Tri-mix Injection MDV (Papaverine HCL/Phentolamine Mesylate/Alprostadil),Custom Available,5ml,medication,MED-009,Tri-mix,Papaverine HCl + phentolamine mesylate + alprostadil,FRM-012,CFG-EP-0029,NORMALIZED,""
SRC-003:Formulary Pricing!A31:J31,Women's & Men's Health - Topical,"Hormone Cream (Estradiol, Estradiol/DHEA, Estradiol/Testosterone, Estriol, Testosterone)",Any,30 grams,medication,MED-010,Custom Hormone Cream,Estradiol OR estradiol+DHEA OR estradiol+testosterone OR estriol OR testosterone,FRM-013,CFG-EP-0030,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A32:J32,Women's & Men's Health - Topical,"Hormone Cream (Estradiol, Estradiol/DHEA, Estradiol/Testosterone, Estriol, Testosterone)",Any,60 grams,medication,MED-010,Custom Hormone Cream,Estradiol OR estradiol+DHEA OR estradiol+testosterone OR estriol OR testosterone,FRM-013,CFG-EP-0031,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A33:J33,Women's & Men's Health - Topical,"Hormone Cream (Estradiol, Estradiol/DHEA, Estradiol/Testosterone, Estriol, Testosterone)",Any,90 grams,medication,MED-010,Custom Hormone Cream,Estradiol OR estradiol+DHEA OR estradiol+testosterone OR estriol OR testosterone,FRM-013,CFG-EP-0032,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A34:J34,Women's & Men's Health - Suppository,Boric Acid,600mg,Each,medication,MED-011,Boric Acid,Boric acid,FRM-014,CFG-EP-0033,NORMALIZED,""
SRC-003:Formulary Pricing!A35:J35,Women's & Men's Health - Suppository,Progesterone,call for info,call for info,medication,MED-006,Progesterone,Progesterone,FRM-015,CFG-EP-0034,NORMALIZED,""
SRC-003:Formulary Pricing!A36:J36,Women's & Men's Health - Suppository,Sildenafil 25mg,25mg,Each,medication,MED-012,Sildenafil,Sildenafil,FRM-016,CFG-EP-0035,NORMALIZED,""
SRC-003:Formulary Pricing!A37:J37,Women's & Men's Health - Oral,Anastrozole Capsule,"0.1mg, 0.25mg, 1mg",Each,medication,MED-013,Anastrozole,Anastrozole,FRM-017,CFG-EP-0036,NORMALIZED,""
SRC-003:Formulary Pricing!A38:J38,Women's & Men's Health - Oral,Anastrozole/Clomiphene Capsule,0.2mg/25mg,30 days,medication,MED-014,Anastrozole / Clomiphene,Anastrozole + clomiphene,FRM-018,CFG-EP-0037,NORMALIZED,""
SRC-003:Formulary Pricing!A39:J39,Women's & Men's Health - Oral,Clomiphene Capsule (commercially available),"25mg, 50mg",Each,medication,MED-015,Clomiphene,Clomiphene,FRM-019,CFG-EP-0038,NORMALIZED,""
SRC-003:Formulary Pricing!A40:J40,Women's & Men's Health - Oral,DHEA Capsule,10mg,Each,medication,MED-016,DHEA,Dehydroepiandrosterone (DHEA),FRM-020,CFG-EP-0039,NORMALIZED,""
SRC-003:Formulary Pricing!A41:J41,Women's & Men's Health - Oral,Enclomiphene Capsule,"6.25mg, 12.5mg, 25mg",Each,medication,MED-017,Enclomiphene,Enclomiphene,FRM-021,CFG-EP-0040,NORMALIZED,""
SRC-003:Formulary Pricing!A42:J42,Women's & Men's Health - Oral,"Hormone Troches, once a day (Bi-Est, DHEA, Pregnenolone, Progesterone, Testosterone)",Any,#30,medication,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-022,CFG-EP-0041,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A43:J43,Women's & Men's Health - Oral,"Hormone Troches, once a day (Bi-Est, DHEA, Pregnenolone, Progesterone, Testosterone)",Any,#60,medication,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-022,CFG-EP-0042,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A44:J44,Women's & Men's Health - Oral,"Hormone Troches, twice a day (Bi-Est, DHEA, Pregnenolone, Progesterone, Testosterone)",Any,#90,medication,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-023,CFG-EP-0043,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A45:J45,Women's & Men's Health - Oral,"Hormone Troches, twice a day (Bi-Est, DHEA, Pregnenolone, Progesterone, Testosterone)",Any,#60,medication,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-023,CFG-EP-0044,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A46:J46,Women's & Men's Health - Oral,"Hormone Troches, twice a day (Bi-Est, DHEA, Pregnenolone, Progesterone, Testosterone)",Any,#120,medication,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-023,CFG-EP-0045,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A47:J47,Women's & Men's Health - Oral,Progesterone Capsule,"50mg, 100mg, 150mg, 200mg",Each,medication,MED-006,Progesterone,Progesterone,FRM-024,CFG-EP-0046,NORMALIZED,""
SRC-003:Formulary Pricing!A48:J48,Women's & Men's Health - Oral,Progesterone Capsule (modified release),100mg or 200mg,Each,medication,MED-006,Progesterone,Progesterone,FRM-025,CFG-EP-0047,NORMALIZED,""
SRC-003:Formulary Pricing!A49:J49,Women's & Men's Health - Oral,Sildenafil Troche,100mg,30,medication,MED-012,Sildenafil,Sildenafil,FRM-026,CFG-EP-0048,EXACT DUPLICATE ROW; CANONICAL CONFIGURATION SHARED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A50:J50,Women's & Men's Health - Oral,Sildenafil/Tadalafil Troche,50mg/10mg,30,medication,MED-019,Sildenafil / Tadalafil,Sildenafil + tadalafil,FRM-027,CFG-EP-0049,EXACT DUPLICATE ROW; CANONICAL CONFIGURATION SHARED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A51:J51,Women's & Men's Health - Oral,Tadalafil Troche,10mg,30,medication,MED-020,Tadalafil,Tadalafil,FRM-028,CFG-EP-0050,EXACT DUPLICATE ROW; CANONICAL CONFIGURATION SHARED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A52:J52,Women's & Men's Health - Oral,Tadalafil Troche,20mg,30,medication,MED-020,Tadalafil,Tadalafil,FRM-028,CFG-EP-0051,EXACT DUPLICATE ROW; CANONICAL CONFIGURATION SHARED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A53:J53,"IV, Wellness, & Metabolic Therapies - Injection",Alpha Lipoic Acid Injection SDV (PF),25mg/ml,4ml,medication,MED-021,Alpha Lipoic Acid,Alpha lipoic acid,FRM-029,CFG-EP-0052,NORMALIZED,""
SRC-003:Formulary Pricing!A54:J54,"IV, Wellness, & Metabolic Therapies - Injection",Ascorbic Acid Injection MDV,500mg/ml,100ml,medication,MED-022,Ascorbic Acid,Ascorbic acid,FRM-030,CFG-EP-0053,NORMALIZED,""
SRC-003:Formulary Pricing!A55:J55,"IV, Wellness, & Metabolic Therapies - Injection",Ascorbic Acid Injection SDV,500mg/ml,30ml,medication,MED-022,Ascorbic Acid,Ascorbic acid,FRM-031,CFG-EP-0054,NORMALIZED,""
SRC-003:Formulary Pricing!A56:J56,"IV, Wellness, & Metabolic Therapies - Injection",Calcium Gluconate Injection,85mg/ml,5ml,medication,MED-023,Calcium Gluconate,Calcium gluconate,FRM-032,CFG-EP-0055,NORMALIZED,""
SRC-003:Formulary Pricing!A57:J57,"IV, Wellness, & Metabolic Therapies - Injection",Folic Acid injection (commercial),call for info,1ml,medication,MED-024,Folic Acid,Folic acid,FRM-033,CFG-EP-0056,NORMALIZED,""
SRC-003:Formulary Pricing!A58:J58,"IV, Wellness, & Metabolic Therapies - Injection",Glutathione Injection MDV,200mg/ml,4ml,medication,MED-025,Glutathione,Glutathione,FRM-034,CFG-EP-0057,NORMALIZED,""
SRC-003:Formulary Pricing!A59:J59,"IV, Wellness, & Metabolic Therapies - Injection",Magnesium Chloride Injection MDV (commercial),20%,50ml,medication,MED-026,Magnesium Chloride,Magnesium chloride,FRM-035,CFG-EP-0058,NORMALIZED,""
SRC-003:Formulary Pricing!A60:J60,"IV, Wellness, & Metabolic Therapies - Injection",Magnesium Chloride Injection SDV (PF),200mg/ml,30ml,medication,MED-026,Magnesium Chloride,Magnesium chloride,FRM-036,CFG-EP-0059,NORMALIZED,""
SRC-003:Formulary Pricing!A61:J61,"IV, Wellness, & Metabolic Therapies - Injection",Methylcobalamin Injection MDV,5mg/ml,4ml,medication,MED-027,Methylcobalamin,Methylcobalamin (vitamin B12),FRM-037,CFG-EP-0060,NORMALIZED,""
SRC-003:Formulary Pricing!A62:J62,"IV, Wellness, & Metabolic Therapies - Injection",Methylcobalamin Injection MDV,10mg/ml,4ml,medication,MED-027,Methylcobalamin,Methylcobalamin (vitamin B12),FRM-037,CFG-EP-0061,NORMALIZED,""
SRC-003:Formulary Pricing!A63:J63,"IV, Wellness, & Metabolic Therapies - Injection",Myers like Cocktail (Ascorbic Acid/Calcium Chloride/Hydroxocobalamin/Magnesium Chloride/Pyridoxine/Riboflavin-5-Phosphate/Thiamine Injection (PF)),2000mg/200mg/1000mcg/1000mg/10..,25ml,medication,MED-028,Myers-like Cocktail,Ascorbic acid + calcium chloride + hydroxocobalamin + magnesium chloride + pyridoxine + riboflavin-5-phosphate + thiamine,FRM-038,CFG-EP-0062,NORMALIZED,""
SRC-003:Formulary Pricing!A64:J64,"IV, Wellness, & Metabolic Therapies - Injection",MICC - Methionine/Inositol/Choline Chloride/Cyanocobalamin Injection (PF),15mg/50mg/100mg/6mcg/ml,1ml,medication,MED-029,MICC,Methionine + inositol + choline chloride + cyanocobalamin,FRM-039,CFG-EP-0063,NORMALIZED,""
SRC-003:Formulary Pricing!A65:J65,"IV, Wellness, & Metabolic Therapies - Injection",MICC + Levocarnitine Injection (Methionine/Inositol/Choline Chloride/Cyanocobalamin/Levocarnitine) SDV,15mg/50mg/100mg/6mcg/125mg/ml,1ml,medication,MED-030,MICC + Levocarnitine,Methionine + inositol + choline chloride + cyanocobalamin + levocarnitine,FRM-040,CFG-EP-0064,NORMALIZED,""
SRC-003:Formulary Pricing!A66:J66,"IV, Wellness, & Metabolic Therapies - Injection",NAD+ (Nicotinamide Adenine Dinucleotide) Injection MDV,50mg/ml,10ml,medication,MED-031,NAD+,Nicotinamide adenine dinucleotide (NAD+),FRM-041,CFG-EP-0065,NORMALIZED,""
SRC-003:Formulary Pricing!A67:J67,"IV, Wellness, & Metabolic Therapies - Injection",Potassium Chloride Injection,150mg/ml,4ml,medication,MED-032,Potassium Chloride,Potassium chloride,FRM-042,CFG-EP-0066,NORMALIZED,""
SRC-003:Formulary Pricing!A68:J68,"IV, Wellness, & Metabolic Therapies - Injection",Pyridoxine HCL MDV Injection (commercial),100mg/ml,25ml,medication,MED-033,Pyridoxine,Pyridoxine HCl,FRM-043,CFG-EP-0067,NORMALIZED,""
SRC-003:Formulary Pricing!A69:J69,"IV, Wellness, & Metabolic Therapies - Injection",Pyridoxine/Thiamine HCL injection,100mg/100mg/ml,4ml,medication,MED-034,Pyridoxine / Thiamine,Pyridoxine HCl + thiamine HCl,FRM-044,CFG-EP-0068,NORMALIZED,""
SRC-003:Formulary Pricing!A70:J70,"IV, Wellness, & Metabolic Therapies - Injection",Sermorelin Injection MDV,2mg/ml,5ml,medication,MED-035,Sermorelin,Sermorelin,FRM-045,CFG-EP-0069,NORMALIZED,""
SRC-003:Formulary Pricing!A71:J71,"IV, Wellness, & Metabolic Therapies - Injection",Zinc 10mg/ml Injection,10mg/ml,10ml,medication,MED-036,Zinc,Zinc,FRM-046,CFG-EP-0070,NORMALIZED,""
SRC-003:Formulary Pricing!A72:J72,"IV, Wellness, & Metabolic Therapies - Oral",Sermorelin Troche,200mcg,30,medication,MED-035,Sermorelin,Sermorelin,FRM-047,CFG-EP-0071,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A73:J73,"IV, Wellness, & Metabolic Therapies - Oral",Sermorelin Troche,400mcg,30,medication,MED-035,Sermorelin,Sermorelin,FRM-047,CFG-EP-0072,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A74:J74,"IV, Wellness, & Metabolic Therapies - Oral",Sermorelin Troche,600mcg,30,medication,MED-035,Sermorelin,Sermorelin,FRM-047,CFG-EP-0073,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A75:J75,"IV, Wellness, & Metabolic Therapies - Oral",Sermorelin Troche,800mcg,30,medication,MED-035,Sermorelin,Sermorelin,FRM-047,CFG-EP-0074,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A76:J76,Sexual Health - Injection,Bimix Injection MDV (Papaverine HCL/Phentolamine Mesylate),Custom,5ml,medication,MED-005,Bi-mix,Papaverine HCl + phentolamine mesylate,FRM-008,CFG-EP-0075,NORMALIZED,""
SRC-003:Formulary Pricing!A77:J77,Sexual Health - Injection,Trimix Injection MDV (Papaverine HCL/Phentolamine Mesylate/Alprostadil),Custom,5ml,medication,MED-009,Tri-mix,Papaverine HCl + phentolamine mesylate + alprostadil,FRM-012,CFG-EP-0076,NORMALIZED,""
SRC-003:Formulary Pricing!A78:J78,Sexual Health - Nasal & Oral,PT-141 (Bremelanotide) Nasal Spray,call for info,6ml,medication,MED-037,Bremelanotide (PT-141),Bremelanotide (PT-141),FRM-048,CFG-EP-0077,NORMALIZED,""
SRC-003:Formulary Pricing!A79:J79,Sexual Health - Nasal & Oral,PT-141 (Bremelanotide) Troche,500mcg,Each,medication,MED-037,Bremelanotide (PT-141),Bremelanotide (PT-141),FRM-049,CFG-EP-0078,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A80:J80,Sexual Health - Nasal & Oral,PT-141 (Bremelanotide) Sublingual Solution,call for info,6ml,medication,MED-037,Bremelanotide (PT-141),Bremelanotide (PT-141),FRM-050,CFG-EP-0079,NORMALIZED,""
SRC-003:Formulary Pricing!A81:J81,Sexual Health - Nasal & Oral,Sildenafil Troche,100mg,30,medication,MED-012,Sildenafil,Sildenafil,FRM-026,CFG-EP-0048,EXACT DUPLICATE ROW; CANONICAL CONFIGURATION SHARED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A82:J82,Sexual Health - Nasal & Oral,Sildenafil/Tadalafil Troche,50mg/10mg,30,medication,MED-019,Sildenafil / Tadalafil,Sildenafil + tadalafil,FRM-027,CFG-EP-0049,EXACT DUPLICATE ROW; CANONICAL CONFIGURATION SHARED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A83:J83,Sexual Health - Nasal & Oral,Tadalafil Troche,10mg,30,medication,MED-020,Tadalafil,Tadalafil,FRM-028,CFG-EP-0050,EXACT DUPLICATE ROW; CANONICAL CONFIGURATION SHARED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A84:J84,Sexual Health - Nasal & Oral,Tadalafil Troche,20mg,30,medication,MED-020,Tadalafil,Tadalafil,FRM-028,CFG-EP-0051,EXACT DUPLICATE ROW; CANONICAL CONFIGURATION SHARED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A85:J85,Sexual Health - Topical,Scream Cream (Arginine/Sildenafil/Theophylline),6%/2%/2.5%,20gm,medication,MED-038,Scream Cream,Arginine + sildenafil + theophylline,FRM-051,CFG-EP-0080,NORMALIZED,""
SRC-003:Formulary Pricing!A86:J86,Ketamine Therapy - Nasal,Ketamine Nasal Spray,100mg/ml,5ml,medication,MED-039,Ketamine,Ketamine,FRM-052,CFG-EP-0081,NORMALIZED,""
SRC-003:Formulary Pricing!A87:J87,Ketamine Therapy - Nasal,Ketamine Nasal Spray,100mg/ml,10ml,medication,MED-039,Ketamine,Ketamine,FRM-052,CFG-EP-0082,NORMALIZED,""
SRC-003:Formulary Pricing!A88:J88,Ketamine Therapy - Oral,Ketamine Capsules,call for info,Each,medication,MED-039,Ketamine,Ketamine,FRM-053,CFG-EP-0083,NORMALIZED,""
SRC-003:Formulary Pricing!A89:J89,Ketamine Therapy - Oral,Ketamine Troche,call for info,Each,medication,MED-039,Ketamine,Ketamine,FRM-054,CFG-EP-0084,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A90:J90,Ketamine Therapy - Oral,Ketamine/NAD/Oxytocin Troche,100mg/50mg/100iu,Each,medication,MED-040,Ketamine / NAD+ / Oxytocin,Ketamine + NAD+ + oxytocin,FRM-055,CFG-EP-0085,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A91:J91,Dermatology - Topical,Azelaic Acid in Anhydrous Base,15%,50gm,medication,MED-041,Azelaic Acid,Azelaic acid,FRM-056,CFG-EP-0086,NORMALIZED,""
SRC-003:Formulary Pricing!A92:J92,Dermatology - Topical,Azelaic Acid,20%,45gm,medication,MED-041,Azelaic Acid,Azelaic acid,FRM-057,CFG-EP-0087,NORMALIZED,""
SRC-003:Formulary Pricing!A93:J93,Dermatology - Topical,Azelaic Acid/Kojic Acid/Niacinamide Cream,15%/4%/4%,45gm,medication,MED-042,Azelaic Acid / Kojic Acid / Niacinamide,Azelaic acid + kojic acid + niacinamide,FRM-058,CFG-EP-0088,NORMALIZED,""
SRC-003:Formulary Pricing!A94:J94,Dermatology - Topical,Pain Cream,<59 grams,<59gm,medication,MED-043,Pain Cream,Active ingredients unspecified,FRM-059,CFG-EP-0089,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A95:J95,Dermatology - Topical,Pain Cream,call for info,>60gm,medication,MED-043,Pain Cream,Active ingredients unspecified,FRM-059,CFG-EP-0090,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A96:J96,Dermatology - Topical,Tretinoin in Anhydrous Base,0.025%-0.1%,"15, 30 or 45gm",medication,MED-044,Tretinoin,Tretinoin,FRM-060,CFG-EP-0091,NORMALIZED,""
SRC-003:Formulary Pricing!A97:J97,Dermatology - Topical,Hydroquinone in Anhydrous Base,4-10%,45gm,medication,MED-045,Hydroquinone,Hydroquinone,FRM-061,CFG-EP-0092,NORMALIZED,""
SRC-003:Formulary Pricing!A98:J98,Hair Restoration - Topical,Finasteride/Minoxidil Foam,-,-,medication,MED-046,Finasteride / Minoxidil,Finasteride + minoxidil,FRM-062,CFG-EP-0093,NORMALIZED,""
SRC-003:Formulary Pricing!A99:J99,Hair Restoration - Topical,Finasteride/Minoxidil/Latanoprost Foam,0.25%/10%/0.1%,30 Days,medication,MED-047,Finasteride / Minoxidil / Latanoprost,Finasteride + minoxidil + latanoprost,FRM-063,CFG-EP-0094,NORMALIZED,""
SRC-003:Formulary Pricing!A100:J100,Hair Restoration - Topical,Dutasteride 0.05% Solution,0.05%,15ml,medication,MED-048,Dutasteride,Dutasteride,FRM-064,CFG-EP-0095,NORMALIZED,""
SRC-003:Formulary Pricing!A101:J101,Hair Restoration - Topical,"Hair Loss Treatment Kit (Dutasteride Solution, Minoxidil Lotion in Atrevis Hydrogel, Ketoconazole Shampoo)","0.05%, 10%, 2%","15ml, 90gm, 120",non-medication kit,"","",Dutasteride solution + minoxidil lotion + ketoconazole shampoo,"",NONMED-001,SEPARATED FROM MEDICATION CATALOG,Components preserved without inventing individual SKU mappings
SRC-003:Formulary Pricing!A102:J102,Hair Restoration - Topical,Minoxidil Cream,5%-10%,-,medication,MED-049,Minoxidil,Minoxidil,FRM-065,CFG-EP-0096,NORMALIZED,""
SRC-003:Formulary Pricing!A103:J103,Hair Restoration - Oral,Minoxidil Capsules,1mg,Each,medication,MED-049,Minoxidil,Minoxidil,FRM-066,CFG-EP-0097,NORMALIZED,""
SRC-003:Formulary Pricing!A104:J104,Hair Restoration - Oral,Minoxidil Capsules,2.5mg,Each,medication,MED-049,Minoxidil,Minoxidil,FRM-066,CFG-EP-0098,NORMALIZED,""
SRC-003:Formulary Pricing!A105:J105,Hair Restoration - Oral,Minoxidil Troche,0.25mg - 1mg,Each,medication,MED-049,Minoxidil,Minoxidil,FRM-067,CFG-EP-0099,NORMALIZED,Contains explicit unresolved pharmacy detail
SRC-003:Formulary Pricing!A106:J106,Hair Restoration - Oral,Minoxidil/Finasteride Capsules,call for info,call for info,medication,MED-050,Minoxidil / Finasteride,Minoxidil + finasteride,FRM-068,CFG-EP-0100,NORMALIZED,""
SRC-003:Formulary Pricing!A107:J107,Hair Restoration - Oral,Minoxidil/Finasteride Troche,call for info,call for info,medication,MED-050,Minoxidil / Finasteride,Minoxidil + finasteride,FRM-069,CFG-EP-0101,NORMALIZED,Contains explicit unresolved pharmacy detail
