pharmacy_configuration_id,canonical_medication_id,patient_facing_medication_concept,clinical_medication_concept,formulation_id,formulation,route_of_administration,dosage_form,strength_or_concentration,package_size,total_mg,additive_or_base,days_supply_when_supported,pharmacy,pharmacy_sku_or_source_reference,source_categories,formulary_base_price,formulary_patient_pricing_plus_10,formulary_tier_1_minus_10,formulary_tier_2_minus_20,formulary_tier_3_minus_30,telehealth_tier_1_minus_30,telehealth_tier_2_minus_40,telehealth_tier_3_minus_50,native_sku_status
CFG-EP-0013,MED-004,Low-dose Naltrexone,Naltrexone,FRM-005,low-dose oral capsule,oral,capsule,"1mg, 1.5mg, 3mg, 4.5mg",Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A14:J14,Weight Management - Oral,1.0,1.1,0.9,0.8,0.7,0.7,0.6,0.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0014,MED-001,Semaglutide,Semaglutide,FRM-006,oral suspension,oral,suspension,4mg/ml,10ml,40mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A15:J15,Weight Management - Oral,123.0,135.3,110.7,98.4,86.1,86.1,73.8,61.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0015,MED-001,Semaglutide,Semaglutide,FRM-006,oral suspension,oral,suspension,4mg/ml,15ml,60mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A16:J16,Weight Management - Oral,133.0,146.3,119.7,106.4,93.1,93.1,79.8,66.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0016,MED-001,Semaglutide,Semaglutide,FRM-006,oral suspension,oral,suspension,8mg/ml,10ml,80mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A17:J17,Weight Management - Oral,136.0,149.6,122.4,108.8,95.2,95.2,81.6,68,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0017,MED-001,Semaglutide,Semaglutide,FRM-006,oral suspension,oral,suspension,8mg/ml,15ml,120mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A18:J18,Weight Management - Oral,154.0,169.4,138.6,123.2,107.8,107.8,92.4,77,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0018,MED-001,Semaglutide,Semaglutide,FRM-007,troche,oral/transmucosal — OPEN — PHARMACY,troche,0.5mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A19:J19,Weight Management - Oral,75.0,82.5,67.5,60,52.5,52.5,45,37.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0019,MED-001,Semaglutide,Semaglutide,FRM-007,troche,oral/transmucosal — OPEN — PHARMACY,troche,1mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A20:J20,Weight Management - Oral,85.0,93.5,76.5,68,59.5,59.5,51,42.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0020,MED-001,Semaglutide,Semaglutide,FRM-007,troche,oral/transmucosal — OPEN — PHARMACY,troche,2mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A21:J21,Weight Management - Oral,105.0,115.5,94.5,84,73.5,73.5,63,52.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0021,MED-001,Semaglutide,Semaglutide,FRM-007,troche,oral/transmucosal — OPEN — PHARMACY,troche,3mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A22:J22,Weight Management - Oral,120.0,132,108,96,84,84,72,60,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0022,MED-001,Semaglutide,Semaglutide,FRM-007,troche,oral/transmucosal — OPEN — PHARMACY,troche,4mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A23:J23,Weight Management - Oral,135.0,148.5,121.5,108,94.5,94.5,81,67.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0023,MED-001,Semaglutide,Semaglutide,FRM-007,troche,oral/transmucosal — OPEN — PHARMACY,troche,6mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A24:J24,Weight Management - Oral,140.0,154,126,112,98,98,84,70,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0024,MED-001,Semaglutide,Semaglutide,FRM-007,troche,oral/transmucosal — OPEN — PHARMACY,troche,8mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A25:J25,Weight Management - Oral,150.0,165,135,120,105,105,90,75,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0025,MED-005,Bi-mix,Papaverine HCl + phentolamine mesylate,FRM-008,multi-dose injectable solution,injection; site unspecified,multi-dose injectable solution,Custom Available,5ml,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A26:J26,Women's & Men's Health - Injection,125.0,137.5,112.5,100,87.5,87.5,75,62.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0026,MED-006,Progesterone,Progesterone,FRM-009,commercial injectable solution,injection,injectable solution,50mg/ml,10ml,500mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A27:J27,Women's & Men's Health - Injection,51.0,56.1,45.9,40.8,35.7,35.7,30.6,25.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0027,MED-007,Testosterone,Testosterone cypionate,FRM-010,injectable solution in sesame oil,injection,injectable solution,200mg/ml,2ml,400mg,sesame oil,"",Eden Pharmacy,SRC-003:Formulary Pricing!A28:J28,Women's & Men's Health - Injection,30.0,33,27,24,21,21,18,15,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0028,MED-008,Testosterone / Anastrozole,Testosterone + anastrozole,FRM-011,compounded injectable solution,injection,injectable solution,200mg/1mg/ml,4ml,800mg/4mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A29:J29,Women's & Men's Health - Injection,75.0,82.5,67.5,60,52.5,52.5,45,37.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0029,MED-009,Tri-mix,Papaverine HCl + phentolamine mesylate + alprostadil,FRM-012,multi-dose injectable solution,injection; site unspecified,multi-dose injectable solution,Custom Available,5ml,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A30:J30,Women's & Men's Health - Injection,125.0,137.5,112.5,100,87.5,87.5,75,62.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0030,MED-010,Custom Hormone Cream,Estradiol OR estradiol+DHEA OR estradiol+testosterone OR estriol OR testosterone,FRM-013,custom topical hormone cream,topical,cream,Any,30 grams,-,composition varies — OPEN — PHARMACY,"",Eden Pharmacy,SRC-003:Formulary Pricing!A31:J31,Women's & Men's Health - Topical,49.0,53.9,44.1,39.2,34.3,34.3,29.4,24.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0031,MED-010,Custom Hormone Cream,Estradiol OR estradiol+DHEA OR estradiol+testosterone OR estriol OR testosterone,FRM-013,custom topical hormone cream,topical,cream,Any,60 grams,-,composition varies — OPEN — PHARMACY,"",Eden Pharmacy,SRC-003:Formulary Pricing!A32:J32,Women's & Men's Health - Topical,69.0,75.9,62.1,55.2,48.3,48.3,41.4,34.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0032,MED-010,Custom Hormone Cream,Estradiol OR estradiol+DHEA OR estradiol+testosterone OR estriol OR testosterone,FRM-013,custom topical hormone cream,topical,cream,Any,90 grams,-,composition varies — OPEN — PHARMACY,"",Eden Pharmacy,SRC-003:Formulary Pricing!A33:J33,Women's & Men's Health - Topical,89.0,97.9,80.1,71.2,62.3,62.3,53.4,44.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0033,MED-011,Boric Acid,Boric acid,FRM-014,suppository,suppository; site unspecified,suppository,600mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A34:J34,Women's & Men's Health - Suppository,1.0,1.1,0.9,0.8,0.7,0.7,0.6,0.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0034,MED-006,Progesterone,Progesterone,FRM-015,suppository,suppository; site unspecified,suppository,call for info,call for info,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A35:J35,Women's & Men's Health - Suppository,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0035,MED-012,Sildenafil,Sildenafil,FRM-016,suppository,suppository; site unspecified,suppository,25mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A36:J36,Women's & Men's Health - Suppository,3.0,3.3,2.7,2.4,2.1,2.1,1.8,1.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0036,MED-013,Anastrozole,Anastrozole,FRM-017,oral capsule,oral,capsule,"0.1mg, 0.25mg, 1mg",Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A37:J37,Women's & Men's Health - Oral,1.33,1.463,1.197,1.064,0.931,0.931,0.798,0.665,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0037,MED-014,Anastrozole / Clomiphene,Anastrozole + clomiphene,FRM-018,oral capsule,oral,capsule,0.2mg/25mg,30 days,-,"",30,Eden Pharmacy,SRC-003:Formulary Pricing!A38:J38,Women's & Men's Health - Oral,52.0,57.2,46.8,41.6,36.4,36.4,31.2,26,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0038,MED-015,Clomiphene,Clomiphene,FRM-019,commercial oral capsule,oral,capsule,"25mg, 50mg",Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A39:J39,Women's & Men's Health - Oral,1.4,1.54,1.26,1.12,0.98,0.98,0.84,0.7,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0039,MED-016,DHEA,Dehydroepiandrosterone (DHEA),FRM-020,oral capsule,oral,capsule,10mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A40:J40,Women's & Men's Health - Oral,0.6,0.66,0.54,0.48,0.42,0.42,0.36,0.3,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0040,MED-017,Enclomiphene,Enclomiphene,FRM-021,oral capsule,oral,capsule,"6.25mg, 12.5mg, 25mg",Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A41:J41,Women's & Men's Health - Oral,2.5,2.75,2.25,2,1.75,1.75,1.5,1.25,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0041,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-022,once-daily hormone troche,oral/transmucosal — OPEN — PHARMACY,troche,Any,#30,-,composition varies — OPEN — PHARMACY,30,Eden Pharmacy,SRC-003:Formulary Pricing!A42:J42,Women's & Men's Health - Oral,49.0,53.9,44.1,39.2,34.3,34.3,29.4,24.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0042,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-022,once-daily hormone troche,oral/transmucosal — OPEN — PHARMACY,troche,Any,#60,-,composition varies — OPEN — PHARMACY,60,Eden Pharmacy,SRC-003:Formulary Pricing!A43:J43,Women's & Men's Health - Oral,84.0,92.4,75.6,67.2,58.8,58.8,50.4,42,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0043,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-023,twice-daily hormone troche,oral/transmucosal — OPEN — PHARMACY,troche,Any,#90,-,composition varies — OPEN — PHARMACY,45,Eden Pharmacy,SRC-003:Formulary Pricing!A44:J44,Women's & Men's Health - Oral,95.0,104.5,85.5,76,66.5,66.5,57,47.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0044,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-023,twice-daily hormone troche,oral/transmucosal — OPEN — PHARMACY,troche,Any,#60,-,composition varies — OPEN — PHARMACY,30,Eden Pharmacy,SRC-003:Formulary Pricing!A45:J45,Women's & Men's Health - Oral,63.0,69.3,56.7,50.4,44.1,44.1,37.8,31.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0045,MED-018,Custom Hormone Troche,Bi-Est + DHEA + pregnenolone + progesterone + testosterone; exact composition unresolved,FRM-023,twice-daily hormone troche,oral/transmucosal — OPEN — PHARMACY,troche,Any,#120,-,composition varies — OPEN — PHARMACY,60,Eden Pharmacy,SRC-003:Formulary Pricing!A46:J46,Women's & Men's Health - Oral,121.0,133.1,108.9,96.8,84.7,84.7,72.6,60.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0046,MED-006,Progesterone,Progesterone,FRM-024,immediate-release oral capsule,oral,capsule,"50mg, 100mg, 150mg, 200mg",Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A47:J47,Women's & Men's Health - Oral,1.0,1.1,0.9,0.8,0.7,0.7,0.6,0.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0047,MED-006,Progesterone,Progesterone,FRM-025,modified-release oral capsule,oral,modified-release capsule,100mg or 200mg,Each,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A48:J48,Women's & Men's Health - Oral,1.0,1.1,0.9,0.8,0.7,0.7,0.6,0.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0048,MED-012,Sildenafil,Sildenafil,FRM-026,troche,oral/transmucosal — OPEN — PHARMACY,troche,100mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A49:J49; SRC-003:Formulary Pricing!A81:J81,Women's & Men's Health - Oral; Sexual Health - Nasal & Oral,150.0,165,135,120,105,105,90,75,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0049,MED-019,Sildenafil / Tadalafil,Sildenafil + tadalafil,FRM-027,troche,oral/transmucosal — OPEN — PHARMACY,troche,50mg/10mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A50:J50; SRC-003:Formulary Pricing!A82:J82,Women's & Men's Health - Oral; Sexual Health - Nasal & Oral,150.0,165,135,120,105,105,90,75,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0050,MED-020,Tadalafil,Tadalafil,FRM-028,troche,oral/transmucosal — OPEN — PHARMACY,troche,10mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A51:J51; SRC-003:Formulary Pricing!A83:J83,Women's & Men's Health - Oral; Sexual Health - Nasal & Oral,60.0,66,54,48,42,42,36,30,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0051,MED-020,Tadalafil,Tadalafil,FRM-028,troche,oral/transmucosal — OPEN — PHARMACY,troche,20mg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A52:J52; SRC-003:Formulary Pricing!A84:J84,Women's & Men's Health - Oral; Sexual Health - Nasal & Oral,75.0,82.5,67.5,60,52.5,52.5,45,37.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0052,MED-021,Alpha Lipoic Acid,Alpha lipoic acid,FRM-029,preservative-free single-dose injectable solution,injection,single-dose injectable solution,25mg/ml,4ml,100mg,preservative-free,"",Eden Pharmacy,SRC-003:Formulary Pricing!A53:J53,"IV, Wellness, & Metabolic Therapies - Injection",Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0053,MED-022,Ascorbic Acid,Ascorbic acid,FRM-030,multi-dose injectable solution,injection,multi-dose injectable solution,500mg/ml,100ml,"50,000mg","","",Eden Pharmacy,SRC-003:Formulary Pricing!A54:J54,"IV, Wellness, & Metabolic Therapies - Injection",99.0,108.9,89.1,79.2,69.3,69.3,59.4,49.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0054,MED-022,Ascorbic Acid,Ascorbic acid,FRM-031,single-dose injectable solution,injection,single-dose injectable solution,500mg/ml,30ml,"15,000mg","","",Eden Pharmacy,SRC-003:Formulary Pricing!A55:J55,"IV, Wellness, & Metabolic Therapies - Injection",49.0,53.9,44.1,39.2,34.3,34.3,29.4,24.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0055,MED-023,Calcium Gluconate,Calcium gluconate,FRM-032,injectable solution,injection,injectable solution,85mg/ml,5ml,425mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A56:J56,"IV, Wellness, & Metabolic Therapies - Injection",75.0,82.5,67.5,60,52.5,52.5,45,37.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0056,MED-024,Folic Acid,Folic acid,FRM-033,commercial injectable solution,injection,injectable solution,call for info,1ml,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A57:J57,"IV, Wellness, & Metabolic Therapies - Injection",Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0057,MED-025,Glutathione,Glutathione,FRM-034,multi-dose injectable solution,injection,multi-dose injectable solution,200mg/ml,4ml,800mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A58:J58,"IV, Wellness, & Metabolic Therapies - Injection",Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0058,MED-026,Magnesium Chloride,Magnesium chloride,FRM-035,commercial multi-dose injectable solution,injection,multi-dose injectable solution,20%,50ml,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A59:J59,"IV, Wellness, & Metabolic Therapies - Injection",Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0059,MED-026,Magnesium Chloride,Magnesium chloride,FRM-036,preservative-free single-dose injectable solution,injection,single-dose injectable solution,200mg/ml,30ml,6000mg,preservative-free,"",Eden Pharmacy,SRC-003:Formulary Pricing!A60:J60,"IV, Wellness, & Metabolic Therapies - Injection",Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0060,MED-027,Methylcobalamin,Methylcobalamin (vitamin B12),FRM-037,multi-dose injectable solution,injection,multi-dose injectable solution,5mg/ml,4ml,20mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A61:J61,"IV, Wellness, & Metabolic Therapies - Injection",18.7,20.57,16.83,14.96,13.09,13.09,11.22,9.35,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0061,MED-027,Methylcobalamin,Methylcobalamin (vitamin B12),FRM-037,multi-dose injectable solution,injection,multi-dose injectable solution,10mg/ml,4ml,40mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A62:J62,"IV, Wellness, & Metabolic Therapies - Injection",32.1,35.31,28.89,25.68,22.47,22.47,19.26,16.05,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0062,MED-028,Myers-like Cocktail,Ascorbic acid + calcium chloride + hydroxocobalamin + magnesium chloride + pyridoxine + riboflavin-5-phosphate + thiamine,FRM-038,preservative-free injectable cocktail,injection,injectable solution,2000mg/200mg/1000mcg/1000mg/10..,25ml,-,preservative-free,"",Eden Pharmacy,SRC-003:Formulary Pricing!A63:J63,"IV, Wellness, & Metabolic Therapies - Injection",40.0,44,36,32,28,28,24,20,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0063,MED-029,MICC,Methionine + inositol + choline chloride + cyanocobalamin,FRM-039,preservative-free injectable solution,injection,injectable solution,15mg/50mg/100mg/6mcg/ml,1ml,-,preservative-free,"",Eden Pharmacy,SRC-003:Formulary Pricing!A64:J64,"IV, Wellness, & Metabolic Therapies - Injection",12.5,13.75,11.25,10,8.75,8.75,7.5,6.25,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0064,MED-030,MICC + Levocarnitine,Methionine + inositol + choline chloride + cyanocobalamin + levocarnitine,FRM-040,single-dose injectable solution,injection,single-dose injectable solution,15mg/50mg/100mg/6mcg/125mg/ml,1ml,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A65:J65,"IV, Wellness, & Metabolic Therapies - Injection",12.5,13.75,11.25,10,8.75,8.75,7.5,6.25,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0065,MED-031,NAD+,Nicotinamide adenine dinucleotide (NAD+),FRM-041,multi-dose injectable solution,injection,multi-dose injectable solution,50mg/ml,10ml,500mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A66:J66,"IV, Wellness, & Metabolic Therapies - Injection",75.0,82.5,67.5,60,52.5,52.5,45,37.5,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0066,MED-032,Potassium Chloride,Potassium chloride,FRM-042,injectable solution,injection,injectable solution,150mg/ml,4ml,600mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A67:J67,"IV, Wellness, & Metabolic Therapies - Injection",Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0067,MED-033,Pyridoxine,Pyridoxine HCl,FRM-043,commercial multi-dose injectable solution,injection,multi-dose injectable solution,100mg/ml,25ml,2500mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A68:J68,"IV, Wellness, & Metabolic Therapies - Injection",350.0,385,315,280,245,245,210,175,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0068,MED-034,Pyridoxine / Thiamine,Pyridoxine HCl + thiamine HCl,FRM-044,injectable solution,injection,injectable solution,100mg/100mg/ml,4ml,400mg/400mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A69:J69,"IV, Wellness, & Metabolic Therapies - Injection",Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0069,MED-035,Sermorelin,Sermorelin,FRM-045,multi-dose injectable solution,injection,multi-dose injectable solution,2mg/ml,5ml,10mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A70:J70,"IV, Wellness, & Metabolic Therapies - Injection",86.0,94.6,77.4,68.8,60.2,60.2,51.6,43,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0070,MED-036,Zinc,Zinc,FRM-046,injectable solution,injection,injectable solution,10mg/ml,10ml,100mg,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A71:J71,"IV, Wellness, & Metabolic Therapies - Injection",Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,Call for info,No native SKU supplied; canonical configuration references exact source row(s)
CFG-EP-0071,MED-035,Sermorelin,Sermorelin,FRM-047,troche,oral/transmucosal — OPEN — PHARMACY,troche,200mcg,30,-,"","",Eden Pharmacy,SRC-003:Formulary Pricing!A72:J72,"IV, Wellness, & Metabolic Therapies - Oral",105.0,115.5,94.5,84,73.5,73.5,63,52.5,No native SKU supplied; canonical configuration references exact source row(s)
