canonical_medication_id,patient_facing_medication_concept,catalog_kind,source_categories,clinical_documentation_status,clinical_sources,membership_program_mapping,marketplace_visibility,authority_status
MED-018,Custom Hormone Troche,compounded medication family,Women's & Men's Health - Oral,DOCUMENTED — OPEN — CLINICAL: composition and route coverage,"SRC-005, SRC-018",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-019,Sildenafil / Tadalafil,combination medication,Women's & Men's Health - Oral; Sexual Health - Nasal & Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-020,Tadalafil,medication,Women's & Men's Health - Oral; Sexual Health - Nasal & Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-021,Alpha Lipoic Acid,medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-022,Ascorbic Acid,medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-023,Calcium Gluconate,medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-024,Folic Acid,medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-025,Glutathione,medication,"IV, Wellness, & Metabolic Therapies - Injection",DOCUMENTED,"SRC-012, SRC-017",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-026,Magnesium Chloride,medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-027,Methylcobalamin,medication,"IV, Wellness, & Metabolic Therapies - Injection",DOCUMENTED AS VITAMIN B12 — OPEN — CLINICAL: alias review,"SRC-012, SRC-017",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-028,Myers-like Cocktail,compounded medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-029,MICC,compounded medication,"IV, Wellness, & Metabolic Therapies - Injection",DOCUMENTED AS MIC+B12 — OPEN — CLINICAL: composition review,"SRC-012, SRC-017",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-030,MICC + Levocarnitine,compounded medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-031,NAD+,medication,"IV, Wellness, & Metabolic Therapies - Injection",DOCUMENTED,"SRC-012, SRC-017",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-032,Potassium Chloride,medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-033,Pyridoxine,medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-034,Pyridoxine / Thiamine,combination medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-035,Sermorelin,medication,"IV, Wellness, & Metabolic Therapies - Injection; IV, Wellness, & Metabolic Therapies - Oral",DOCUMENTED — OPEN — CLINICAL: dosing and monitoring conflict,"SRC-008, SRC-012, SRC-013",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-036,Zinc,medication,"IV, Wellness, & Metabolic Therapies - Injection",ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-037,Bremelanotide (PT-141),medication,Sexual Health - Nasal & Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-038,Scream Cream,compounded medication,Sexual Health - Topical,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-039,Ketamine,medication,Ketamine Therapy - Nasal; Ketamine Therapy - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-040,Ketamine / NAD+ / Oxytocin,combination medication,Ketamine Therapy - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-041,Azelaic Acid,medication,Dermatology - Topical,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-042,Azelaic Acid / Kojic Acid / Niacinamide,combination medication,Dermatology - Topical,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-043,Pain Cream,compounded medication family,Dermatology - Topical,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-044,Tretinoin,medication,Dermatology - Topical,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-045,Hydroquinone,medication,Dermatology - Topical,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-046,Finasteride / Minoxidil,combination medication,Hair Restoration - Topical,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-047,Finasteride / Minoxidil / Latanoprost,combination medication,Hair Restoration - Topical,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-048,Dutasteride,medication,Hair Restoration - Topical,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-049,Minoxidil,medication,Hair Restoration - Topical; Hair Restoration - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
MED-050,Minoxidil / Finasteride,combination medication,Hair Restoration - Oral,ABSENT,"",UNMAPPED — OPEN — COMMERCIAL,OPEN — COMMERCIAL,PROPOSED canonical grouping; pharmacy facts remain source-authoritative
